titulo,autor,ano,paginas,editora,rating,avaliacao,resenha,abandonos,relendo,lendo,querem_ler,leram,genero,male,female
Diário de uma garota nada popular 9,Rachel Renée Russell,2015,344,Verus,4.1,536,8,7,1,27,528,994, Bem-vindos ao mundo de MacKenzie Hollister!Ficção / Infantojuvenil ,2,98
Batalha na Costa Oceânica,Mark Cheverton,2017,288,Galera,4.3,4,0,0,0,0,2,2,Infantojuvenil / Literatura Estrangeira ,75,25
Sou péssimo em inglês,Carina Fragozo,2020,128,HarperCollins,3.5,5,2,0,0,1,7,4,Línguas Estrangeiras ,32,68
Brida,Paulo Coelho,2013,224,sextante,3.6,13,212,716,53,232,2,51,"Literatura Brasileira / Autoajuda / Biografia, Autobiografia, Memórias / Religião e Espiritualidade / Romance ",21,79
Para Não Esquecer,Clarice Lispector,1999,128,Rocco,4.1,384,10,12,5,47,1,886,Crônicas / Literatura Brasileira ,20,80
"Delícia, Delícia",Donna Kauffman,2016,296,Valentina,3.6,312,52,13,0,17,630,389, É hora de praticar boloterapia!!!Romance / Literatura Estrangeira ,2,98
Razões da Desordem,Wanderley Guilherme dos Santos,1994,152,Rocco,3.8,4,0,0,0,4,51,14,"""História / Política / Sociologia ",47,53
O Livro Perigoso para Garotos (de bolso),Conn Iggulden,2010,223,Galera,4.2,445,13,11,5,50,555,830,O livro perfeito para garotos de oito a oitenta anos ,67,33
A Namorada Perfeita,Karen Hamilton,2019,432,Rocco,3.4,74,18,0,0,2,745,86,Ficção / Literatura Estrangeira / Suspense e Mistério ,8,92
Selva de Gafanhotos,Andrew Smith,2015,352,Intrínseca,3.4,1,90,124,2,86,2,1,Literatura Estrangeira / Romance ,37,63
O destino dos deuses,Matthew J. Kirby,2019,322,Galera,3.8,16,5,0,0,1,98,14,Aventura / Ficção / Ficção científica / Infantojuvenil / Literatura Estrangeira ,44,56
A Menina que Roubava Livros,Markus Zusak,2011,480,Intrínseca,4.5,114,3,17,877,10,201,335,Drama / Ficção / Literatura Estrangeira / Romance ,16,84
Diários de Stefan - Origens,L. J. Smith,2011,192,Galera,3.9,2,83,134,10,118,4,4,Jovem adulto / Ficção / Romance / Literatura Estrangeira ,12,88
Animais Fantásticos e Onde Habitam,J.K. Rowling ,2017,304,Rocco,4.4,1,109,31,4,104,2,2,Aventura / Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,19,81
O Rei Perverso,Holly Black,2020,308,Galera,4.5,4,644,37,8,351,3,4,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4,96
A Moça de Copenhague,David Ebershoff,2002,336,Rocco,4.1,912,76,55,1,132,1,1, Literatura Estrangeira / Ficção ,18,82
